JS,LISP,PERL,RUBY,NET,JAVA
259,113,151,146,290,105
258,118,149,149,288,110
255,119,154,146,283,113
260,116,157,146,281,115
262,120,158,141,284,114
259,125,156,136,281,119
260,130,161,133,279,122
264,130,159,138,279,120
259,133,164,138,281,118
261,135,165,135,284,118
261,136,168,136,287,120
259,136,163,132,287,119
263,134,166,130,286,124
259,131,171,134,287,119
262,130,166,136,283,119
261,126,171,141,278,124
258,124,172,145,275,119
259,125,174,141,271,121
256,130,172,141,266,123
261,126,173,139,262,128
257,124,172,135,263,131
255,124,167,132,266,126
251,120,165,136,270,126
249,115,167,139,273,123
250,119,168,140,277,126
249,118,173,140,272,128
252,117,168,136,269,130
255,112,169,140,267,132
260,109,168,140,268,132
262,113,173,144,269,135
263,109,168,142,267,132
259,108,165,142,267,135
261,105,165,142,265,135
259,100,162,146,270,132
260,101,165,142,268,135
259,105,163,140,267,138
256,102,168,141,270,137
253,99,171,142,269,139
256,94,168,139,268,138
256,93,167,142,272,135
251,98,169,144,277,131
252,96,166,141,281,133
253,95,168,138,286,134
251,98,170,133,287,133
248,103,175,129,292,135
249,104,172,130,294,138
254,109,173,134,290,143
257,109,171,134,290,143
255,111,170,138,285,144
256,106,171,143,283,146
259,108,170,147,283,149
254,112,166,143,287,146
249,110,165,139,289,145
245,110,160,135,289,146
250,108,160,138,291,147
245,103,159,138,289,146
250,106,155,134,285,141
247,101,153,129,287,137
246,105,156,133,288,138
248,100,160,130,292,140
249,101,165,134,290,141
249,106,161,135,290,140
253,110,161,138,293,142
255,105,158,140,290,147
255,106,156,143,294,149
259,110,161,140,289,149
262,115,165,137,293,148
262,112,160,141,288,151
264,108,162,136,291,146
263,113,157,141,294,141
266,118,157,136,296,140
271,116,154,139,295,142
276,113,158,141,292,140
276,117,161,138,291,136
271,114,157,141,290,140
268,110,160,138,288,136
273,110,159,141,291,141
274,112,164,137,291,137
275,115,161,138,288,141
270,113,160,138,292,138
265,113,163,141,296,142
260,112,163,145,295,139
259,111,160,140,297,144
261,114,158,136,297,142
266,112,161,141,299,144
263,108,158,140,295,142
268,105,163,139,298,142
270,105,163,143,293,144
267,109,165,138,288,143
272,111,169,142,292,139
275,106,174,145,297,134
279,103,174,145,301,131
281,101,176,141,305,126
280,98,175,138,308,130
282,99,173,133,305,131
284,94,177,137,304,130
281,92,181,137,306,128
286,93,182,136,310,129
284,93,179,134,308,132
284,96,182,134,308,136
289,98,183,139,303,134
288,95,179,138,304,133
289,93,176,139,301,137
284,95,179,139,305,133
281,94,181,139,301,130
280,98,180,143,299,135
280,100,183,143,298,135
284,105,186,143,295,138
280,101,182,143,294,143
285,101,177,141,294,143
288,98,181,140,298,140
293,100,176,140,301,143
290,101,181,135,301,142
286,96,177,138,300,144
285,99,180,137,298,141
288,96,185,134,293,145
291,96,185,136,291,144
287,97,182,138,286,146
284,98,182,139,286,143
283,93,183,141,288,143
286,94,185,138,284,145
289,99,185,141,286,147
294,96,181,136,291,148
296,96,181,134,288,147
297,95,179,131,283,152
295,96,181,128,279,156
293,101,184,126,275,153
288,98,186,121,276,148
286,100,191,125,274,145
281,105,194,130,279,145
283,108,197,134,275,147
285,103,202,136,271,142
284,101,207,136,273,145
289,104,212,131,278,149
294,105,210,130,277,146
298,102,214,135,280,141
298,107,212,131,284,143
302,105,214,135,282,146
301,108,215,137,287,142
296,107,212,138,291,143
300,110,210,139,294,145
305,107,212,138,289,146
303,103,213,139,284,146
300,105,216,142,286,150
297,102,214,145,282,153
296,104,211,146,287,151
299,102,214,149,284,151
299,100,210,146,280,148
302,96,213,144,279,143
303,94,208,142,274,143
300,97,207,142,279,141
302,97,206,146,279,138
299,92,202,142,278,136
298,96,207,144,273,134
299,92,205,148,270,135
298,96,200,149,275,137
303,91,197,152,280,141
301,94,192,153,279,137
298,90,190,153,280,139
299,88,188,158,280,143
296,85,184,163,277,139
292,89,185,166,275,138
296,84,188,168,271,136
300,81,188,164,275,138
303,85,193,160,276,134
307,82,188,157,280,138
306,79,189,154,282,137
308,77,191,153,278,133
307,76,190,149,280,130
305,76,190,145,278,132
301,81,192,150,278,135
301,78,193,150,280,135
305,79,190,153,279,132
301,82,194,155,280,137
297,81,196,151,279,141
299,80,192,155,276,145
302,79,191,157,272,146
300,82,194,154,277,142
302,85,190,158,279,142
304,82,193,160,282,144
299,85,188,163,286,143
302,83,186,167,290,145
298,78,185,169,293,142
294,81,183,171,288,143
294,80,180,172,291,146
289,83,178,168,296,141
293,83,174,166,291,136
295,83,170,168,296,139
300,85,167,171,298,135
296,80,170,172,293,132
296,75,167,167,289,134
292,79,168,164,293,137
291,80,170,166,289,132
288,84,167,161,293,128
286,79,167,166,292,124
282,77,162,161,289,120
280,82,158,159,284,119
281,83,155,163,289,116
283,86,158,160,289,119
282,81,155,160,289,120
281,86,158,156,285,123
279,90,157,155,285,119
283,91,159,157,288,122
281,91,163,162,293,118
276,89,159,158,288,118
279,91,155,157,287,116
281,87,153,157,286,119
276,86,152,159,286,115
281,85,147,156,285,119
279,85,150,151,281,121
283,85,146,146,282,120
280,89,141,142,278,116
280,86,143,147,280,116
